Peak,Weight
NRSN2,0.002127178760137693
AC011473.4,0.0021248602396730237
NECTIN4,0.002112134409725133
CSTA,0.0021101221787928805
CTNND1,0.002108581750019768
GDI1,0.0021062225850244504
SSH3,0.0020991330111351948
PAK6,0.0020965166643923854
JAG2,0.0020939650248996593
IPO13,0.0020861130515113457
MOCS1,0.002081013866441037
TRIM29,0.0020573451953023445
LAMC2,0.0020513677692869615
CRYBG1,0.002050687859355401
MAGED1,0.0020428268780724804
FZR1,0.0020324764064855094
JAM3,0.002029079991665418
TNK1,0.002028467537671544
RNF14,0.00200637197318256
PMM1,0.0020044895740098326
IQANK1,0.0020024923230072657
TBC1D25,0.0019963384638901523
CTIF,0.001996101892559762
SLC2A9,0.0019937376965757135
AC003688.2,0.00198719069270274
CUTA,0.0019764114391235352
ZNF441,0.001968882055245021
HCAR2,0.001963862882215593
RAB11FIP3,0.0019574057675288844
ZCCHC24,0.0019372437696445568
NDUFA11,0.0019357173607886524
RASA3,0.0019312941475440701
DSP,0.0019222031995480668
CTSV,0.0019144153975906564
PHC2,0.0019047436629321068
LTBR,0.0019045524385868917
MAP3K3,0.0019028637545788459
DNAJB5,0.0019014644075860997
MAP3K9,0.0018969174000984484
USP11,0.0018853809482733456
TTC21B,0.0018853098283729511
AP1M1,0.0018767941721728168
LIX1L,0.0018760314823355118
BICDL2,0.0018737465472836224
PRRG2,0.0018704210166725823
CERK,0.0018640576615711537
C4orf36,0.0018547925845482705
RARG,0.0018542553791640398
SZRD1,0.001852165037115637
TRIM23,0.001846402717614009
HCFC2,0.0018359802532768312
BLCAP,0.00183574625838209
IFNGR1,0.0018343121327226688
IL18,0.0018277623513217201
AC005324.3,0.0018274549269146018
FRK,0.0018121755917748614
ARHGAP31,0.0018095591026445496
B3GNT3,0.0018032904168764948
ITGB4,0.001803099197344871
MBLAC1,0.0017970226184065438
SYNC,0.0017918122597999034
CCDC88A,0.0017903128962744575
SEMA4B,0.0017856862236586897
YBX3,0.001777283973801281
TMEM184A,0.0017759567167249027
PRKACA,0.0017747758521320246
SGCB,0.0017724903437590824
FAM193A,0.001765756341979305
DUOXA1,0.0017596782693415733
VKORC1,0.0017578720538396744
LYPD3,0.0017441735723292037
STX2,0.0017401552241481668
ADRB2,0.001734411760086616
PRSS8,0.0017319444104093712
SAP30,0.0017256463250095192
MTRNR2L11,0.0017156166466902212
CD99L2,0.0017120655823568388
MBD3,0.001708793555634778
ZC3H12A,0.0017009844378678247
ZNF775,0.0017000544475366552
