Peak,Weight
FAM83H,0.00016751989866335248
VKORC1,0.00016634902670996873
TCTA,0.00016624340473054368
SLC35B4,0.00016229595649994765
DAB2IP,0.0001620531414394851
IFNGR1,0.00015679023802979864
JMJD7,0.0001514680455550199
MST1R,0.0001504582214712159
IPO13,0.00014261791809313967
FBXL7,0.00013769438070651002
FAT2,0.00013247339955993934
PTHLH,0.00013172775456117032
KRTCAP3,0.00012886638599108474
NDFIP2,0.00012859669873146098
SERPINB5,0.0001281442343155697
PATJ,0.0001279343956006554
FRK,0.00012504475159322073
ATP8B2,0.00012496869115521632
TNFRSF21,0.00011790692387717651
EID1,0.00011701900939612407
CAST,0.00011228685975778454
CAPN1,0.00010969857882037113
JAM3,0.00010764755592992842
TERF2IP,0.00010711127668291508
MPZL2,0.00010662032370452853
TNFAIP2,0.00010602428021841435
DTX4,0.00010466538180803247
LYPD3,0.00010443389749670194
CEP170,0.00010116399395397684
HARS1,9.912670867443981e-05
AMPD2,9.890554934602325e-05
WNT7B,9.518128396061921e-05
MOB3B,9.497327691508623e-05
TINAGL1,9.428300508866273e-05
PROM2,9.129870797831823e-05
TMEM30B,8.700664289073801e-05
EQTN,8.251424154018248e-05
FAM83B,8.080218585103429e-05
LTBR,8.033525582144902e-05
ITGB6,7.864931248134538e-05
B3GNT3,7.741705062701618e-05
VOPP1,7.635509110243923e-05
SEC61G,7.56899956601195e-05
NDUFB2,7.547551804644568e-05
EPCAM,7.108872040956282e-05
ANXA6,6.946193830977946e-05
CLDN4,6.845184156498346e-05
SZRD1,6.641863519647883e-05
RAB23,6.520491417738343e-05
RHOD,6.443968118392782e-05
DGKA,6.417451091460966e-05
ELK1,6.032058651639742e-05
ESRP1,5.788495354757265e-05
USP13,5.667586019664546e-05
S100A9,5.1430129338826454e-05
AGRN,4.7640101094354735e-05
TTC3,4.4846031331007386e-05
GNAI2,4.45628358666875e-05
UNC13D,4.4247079158324615e-05
DHRS3,4.304111330934511e-05
TMC4,4.226483407697568e-05
DSG2,4.206410832650155e-05
FAM83A,4.177130084649738e-05
SFN,3.859581133584143e-05
ZC3HC1,3.8336333024579044e-05
NECTIN1,3.700117023924925e-05
DHX30,3.698285267718802e-05
CEACAM6,3.517667083321126e-05
PACSIN3,3.3958378307443446e-05
CDKN2C,3.138671491591504e-05
ELF3,3.114884567918211e-05
COL17A1,3.108538477450247e-05
KCNK1,3.098675061322945e-05
TUBB,2.867473429458196e-05
AGPAT1,2.856576677574377e-05
PPP1R13L,2.6897357572242086e-05
EPS8L2,2.523210887225922e-05
RAP2B,2.0682977288525726e-05
GRHL1,2.0546690628837108e-05
MAL2,1.966154320118077e-05
DDR2,1.7472542299845436e-05
WDR62,1.742704165545776e-05
GDI1,1.6682826698974668e-05
TACSTD2,1.376219897728405e-05
KRT6A,1.266606986371646e-05
SYNC,1.1027626943415637e-05
S100A2,8.690390887016023e-06
ARIH2,8.137957558379128e-06
MROH6,7.566082038901455e-06
KRT19,7.1551989129664426e-06
KATNAL1,7.004712943246246e-06
SLC35A4,5.5971149587672505e-06
PHC2,4.269509715650901e-06
